id,1
1175,1
452,1
275,1
869,1
50,0
1155,1
1395,0
967,1
906,1
1465,0
1680,1
1964,1
830,1
174,0
461,0
1978,0
495,1
1388,1
1572,0
305,1
1695,0
1886,0
878,1
754,1
1444,1
1065,1
543,1
518,0
692,0
1296,0
1893,0
1915,0
418,0
953,0
1148,1
1943,0
105,0
1222,1
400,1
1610,0
230,1
1172,1
947,0
1144,0
1017,0
1063,0
930,0
83,0
1145,0
363,0
338,0
391,0
1139,0
688,1
704,1
1544,0
1760,1
303,0
850,0
924,0
1840,0
292,0
7,1
800,1
1177,0
259,1
274,0
1031,0
377,0
1225,1
396,0
1860,0
1500,1
1625,0
896,0
1704,0
1280,1
125,1
1509,0
458,1
697,1
1483,0
317,1
757,1
770,0
1976,0
970,1
1712,0
82,0
438,0
1581,0
1269,0
255,0
717,0
1505,1
999,1
247,1
1784,0
226,0
1843,1
1122,1
860,0
1490,1
1448,0
1645,1
1718,0
1689,1
877,0
1692,1
780,1
1092,1
569,0
1410,1
1176,1
870,0
166,0
795,1
242,1
1661,0
728,0
916,0
294,0
919,0
1245,1
1032,1
1775,1
997,0
746,0
260,1
271,1
933,1
491,1
649,0
1842,1
71,1
341,1
777,1
1817,1
760,0
839,1
587,1
362,1
1716,1
892,1
25,1
1745,1
1955,0
1791,1
1650,1
1722,1
1778,0
1836,0
1887,1
329,1
1697,0
1390,0
407,1
1724,0
1421,1
397,0
675,1
2,1
142,0
853,0
1320,0
1042,0
907,0
1011,0
261,1
620,1
326,0
1902,1
86,0
300,1
570,0
68,0
1531,1
1246,0
1690,0
608,0
1765,0
1205,1
586,0
469,0
1276,0
1731,1
171,1
474,0
1392,1
1491,0
1627,0
1702,0
1774,0
612,0
1743,0
1504,0
1278,0
312,1
1431,0
1299,1
1534,1
1138,0
1575,1
638,0
628,0
1787,0
1909,0
653,0
1417,0
357,1
1929,1
1604,1
676,1
1558,1
968,0
1553,1
447,0
20,1
108,0
73,1
732,1
845,1
414,0
1393,1
809,0
1636,0
1832,0
762,1
422,1
1956,1
1262,1
131,1
835,0
1415,0
1918,0
1619,0
938,1
1788,1
1240,1
1828,0
413,0
1656,0
1304,1
1664,1
526,0
150,1
993,0
1313,0
647,0
1322,1
197,1
591,1
966,1
1012,0
1501,1
1131,0
678,0
427,1
743,0
1054,1
349,0
602,1
799,0
46,0
988,1
827,0
1376,0
1750,1
147,0
48,1
580,1
455,1
1676,1
286,0
1004,1
1895,0
1789,0
1948,0
634,1
973,0
979,0
22,1
336,1
472,1
372,0
1282,0
36,0
1427,0
978,0
1928,1
1197,0
1413,1
233,0
1829,1
872,0
1128,1
575,1
724,1
550,0
1481,0
1770,1
238,1
902,0
824,0
319,0
773,1
424,0
1772,1
545,0
288,0
753,1
119,0
1701,0
1874,1
76,0
1020,1
1264,1
241,0
1242,1
75,0
446,0
648,1
568,0
1736,1
1879,1
1574,0
911,1
556,1
747,1
1294,1
891,0
239,0
1436,1
1882,0
779,1
1045,0
1655,0
1839,0
1215,0
1061,1
202,1
1414,1
707,1
1171,1
1603,1
1735,0
644,1
1997,0
130,0
137,1
597,0
1687,1
1715,0
1633,0
976,1
1734,1
904,0
1055,1
103,0
915,0
749,0
165,0
1303,1
1990,0
272,1
1669,1
1147,1
471,0
685,1
1423,1
1169,0
1810,1
1835,1
1050,1
1495,1
662,1
951,1
1166,0
106,0
1272,1
283,0
228,1
1974,1
1374,0
791,0
335,1
35,0
1795,0
90,1
655,0
1488,0
1578,1
1049,1
466,1
1149,1
1484,1
360,1
530,1
1309,1
1751,0
1624,1
222,1
445,1
1109,1
682,0
1621,0
383,1
387,0
1922,0
1914,1
740,1
774,1
185,0
1181,0
1277,0
646,1
1521,1
72,0
1239,0
1302,0
1894,0
183,1
666,1
1985,0
759,0
214,0
1284,0
1331,0
629,1
1119,0
144,1
316,0
926,1
643,1
1876,0
734,1
225,1
1307,0
811,1
1034,0
139,1
127,1
761,1
679,1
817,1
1007,1
1136,1
1339,0
384,0
243,1
1744,1
713,1
764,1
1058,0
421,0
721,1
1926,1
632,0
921,0
720,1
1814,1
665,1
563,1
691,1
1027,1
444,0
1163,0
390,1
788,1
373,1
1972,0
1198,0
1326,1
1022,1
579,0
1786,1
97,1
1549,0
1082,1
1706,0
56,1
673,0
794,1
403,1
614,1
45,1
1029,0
